VENDOR_NAME,ERP_SUPPLIER_ID,VENDOR_DETAILS,ADDRESS,CONTACT_NAME,EMAIL,PAYMENT_TERMS,CONTRACT_EXISTS,CONTRACT_ID,VALIDITY_DATE,GUARANTEED_SPEND,CONTRACT_VALUE_USD,TOTAL_AMOUNT_INVOICE_USD,DISCOUNT,Vendor Commodity Code List
DELL MARKETING LP,10245756,"Laptops, desktops, servers, monitors, accessories","1 Dell Way, Round Rock, TX 78682",Sarah Dell,sarah.dell@dell.com,Net 30,Yes,?2024-001,31/12/2025,50000,120000,49999,5%,43200000 IT Hardware Components; 43210000 IT Hardware and Accessories; 43211500 IT Hardware Other; 43211501 Computer servers; 43211503 Laptop/Desktop; 43211600 Catalog IT Accessories; 43211900 Computer Monitors; 43212100 Printers; 43212200 Computer data storage management systems; 43221700 Network Hardware; 43222500 Security Hardware; 43222609 Network routers; 43222800 Network Devices; 44000000 Catalog Office Accessories; 44101500 Copiers and Scanners; 44110000 Desk Accessories; 44120000 Office Supplies; 52160000 Consumer electronics; 81112300 IT hardware maintenance and support; 81112400 Computer hardware rental or leasing services
HP INC,10112233,"Laptops, desktops, printers, monitors, consumables","1501 Page Mill Rd, Palo Alto, CA 94304",Mark Henson,mhenson@hp.com,Net 30,Yes,?2024-003,31/12/2025,40000,100000,15200,7%,43211503 Laptop/Desktop; 43211900 Computer Monitors; 43212100 Printers; 43210000 IT Hardware and Accessories; 43211500 IT Hardware Other; 44120000 Office Supplies; 43200000 IT Hardware Components; 44000000 Catalog Office Accessories; 45110000 Audio-Video; 45000000 AV-Print Equipment; 43211600 Catalog IT Accessories; 44101500 Copiers and Scanners; 56000000 Office Furniture and Equipment; 24140000 Packing supplies; 43212200 Computer data storage management systems; 43221700 Network Hardware; 43222500 Security Hardware; 43222800 Network Devices; 26111700 Batteries; 31200000 Tape; 43191609 Headsets; 43191504 Office Phones; 52160000 Consumer electronics; 73151900 Printing Materials; 43190000 Communications Devices; 43231513 Desktop/Tools Software; 43211501 Computer servers
TEJAS OFFICE PRODUCTS  INC.,10616293,"Office chairs, desks, stationery, office supplies","1705 W Northwest Hwy, Grapevine, TX 76051",Laura Tejas,ltejas@tejas.com,Net 15,No,,,,35000,8200,3%,14000000 Paper Materials; 24140000 Packing supplies; 30201710 Office pantry & kitchen supplies; 44000000 Catalog Office Accessories; 44101500 Copiers and Scanners; 44110000 Desk Accessories; 44120000 Office Supplies; 44120000 Office Supplies; 56000000 Office Furniture and Equipment; 56000000 Office Furniture and Equipment; 56000000 Office Furniture and Equipment
Steelcase Inc.,10123456,"Office furniture, ergonomic chairs, desks","901 44th St SE, Grand Rapids, MI 49508",Jim Steel,jim@steelcase.com,Net 30,Yes,?2024-007,30/06/2026,22000,60000,16000,6%,56000000 Office Furniture and Equipment
Amazon Business,10248888,"IT hardware, printers, office supplies, consumables","410 Terry Ave N, Seattle, WA 98109",John Smith,john@amazon.com,Net 45,Yes,?2024-023,31/12/2025,100000,250000,74500,7%,14000000 Paper Materials; 24140000 Packing supplies; 26111700 Batteries; 31200000 Tape; 43200000 IT Hardware Components; 43210000 IT Hardware and Accessories; 43211500 IT Hardware Other; 43211501 Computer servers; 43211503 Laptop/Desktop; 43211600 Catalog IT Accessories; 43211900 Computer Monitors; 43212100 Printers; 43212200 Computer data storage management systems; 43221700 Network Hardware; 43222500 Security Hardware; 43222609 Network routers; 43222800 Network Devices; 44000000 Catalog Office Accessories; 44101500 Copiers and Scanners; 44110000 Desk Accessories; 44120000 Office Supplies; 45000000 AV-Print Equipment; 56000000 Office Furniture and Equipment; 73151900 Printing Materials; 82121500 Printing Service; 30201710 Office pantry & kitchen supplies
Overture Promotions  Inc.,10436570,"Promotional items, branded gifts, event products","3500 Lacey Rd, Downers Grove, IL 60515",Mike Carter,mcarter@overture.com,Net 30,No,,,,,5000,2%,"49100000 Employee Awards - Materials; 49101700 Employee Recognition Service/Points; 53000000 Apparel and Personal; 54000000 Watches and Jewelry; 60000000 Music, Games, Toys; 80141600 Sales Promotions; 80141601 Customer Gifts; 80141611 Incentives (Panel); 80141627 Coop and Royalty; 80141630 Royalty Costs; 80141631 Trade/Barter Cost; 80141632 Trade Show - Sponsorship; 80141633 Accrued Coop (incentives); 80141650 Other incentives; 80141900 Trade Shows & Exhibits; 82121500 Printing Service"
Staples US,10897654,"Office chairs, desks, paper, stationery","500 Staples Dr, Framingham, MA 01702",Helen Morris,helen@staples.com,Net 30,Yes,?2024-012,31/12/2025,22000,44000,11200,2%,14000000 Paper Materials; 24140000 Packing supplies; 31200000 Tape; 44000000 Catalog Office Accessories; 44101500 Copiers and Scanners; 44110000 Desk Accessories; 44120000 Office Supplies; 56000000 Office Furniture and Equipment; 73151900 Printing Materials; 80161501 Other office expenses; 82121500 Printing Service; 30201710 Office pantry & kitchen supplies
Office Depot,10334455,"Office chairs, desks, stationery, furniture","6600 N Military Trl, Boca Raton, FL 33496",Eric Dean,edean@officedepot.com,Net 30,No,,,,23000,5200,,44110000 Desk Accessories; 44120000 Office Supplies; 56000000 Office Furniture and Equipment; 56000000 Office Furniture and Equipment; 56000000 Office Furniture and Equipment; 44000000 Catalog Office Accessories
Logitech USA,10556677,"Computer accessories, mice, keyboards, webcams","7700 Gateway Blvd, Newark, CA 94560",Ana Rivera,ana@logitech.com,Net 30,Yes,?2024-021,31/12/2026,32000,59000,18000,6%,43210000 IT Hardware and Accessories; 43211500 IT Hardware Other; 43211503 Laptop/Desktop; 43211600 Catalog IT Accessories; 43211900 Computer Monitors; 43212100 Printers; 43210001 Fixed asset holding; 43211501 Computer servers; 44110000 Desk Accessories; 44120000 Office Supplies; 44000000 Catalog Office Accessories; 56000000 Office Furniture and Equipment; 52160000 Consumer electronics; 45110000 Audio-Video; 83111506 Videoconferencing
Canon USA,10987654,"Printers, copiers, scanners, accessories","1 Canon Park, Melville, NY 11747",Thomas Brown,thomas.brown@canon.com,Net 30,Yes,?2024-029,30/06/2026,28000,70000,17200,8%,43212100 Printers; 44101500 Copiers and Scanners; 44120000 Office Supplies; 45000000 AV-Print Equipment; 73151900 Printing Materials; 82121500 Printing Service; 84121607 Office equipment rent/lease
